date,VesselClass,VesselCount,Dispersion
08/08/2016,Capesize,654,6081.507433
08/08/2016,VLOC,108,6053.32715
09/08/2016,Capesize,654,6069.542259
09/08/2016,VLOC,110,6134.118599
10/08/2016,Capesize,648,6112.124635
10/08/2016,VLOC,110,5982.275329
11/08/2016,Capesize,646,6136.264382
11/08/2016,VLOC,105,5798.948066
12/08/2016,Capesize,642,6101.703089
12/08/2016,VLOC,104,5975.780418
13/08/2016,Capesize,653,6137.795904
13/08/2016,VLOC,105,5799.989589
14/08/2016,Capesize,651,6123.242297
14/08/2016,VLOC,106,5780.026298
15/08/2016,Capesize,660,6092.114882
15/08/2016,VLOC,105,5617.498118
16/08/2016,Capesize,656,6089.709185
16/08/2016,VLOC,102,5685.584065
17/08/2016,Capesize,657,6128.466257
17/08/2016,VLOC,101,5843.012674
18/08/2016,Capesize,656,6116.17188
18/08/2016,VLOC,100,5813.704829
19/08/2016,Capesize,653,6195.437563
19/08/2016,VLOC,102,5882.470291
20/08/2016,Capesize,650,6220.892497
20/08/2016,VLOC,102,5876.811372
21/08/2016,Capesize,652,6251.65037
21/08/2016,VLOC,99,5725.903197
22/08/2016,Capesize,655,6244.062838
22/08/2016,VLOC,97,5881.356678
23/08/2016,Capesize,651,6327.687996
23/08/2016,VLOC,99,5928.470923
24/08/2016,Capesize,648,6292.684569
24/08/2016,VLOC,96,5947.1788
25/08/2016,Capesize,641,6317.822335
25/08/2016,VLOC,100,6066.521548
26/08/2016,Capesize,652,6300.678403
26/08/2016,VLOC,97,6040.376553
27/08/2016,Capesize,648,6341.708129
27/08/2016,VLOC,99,6045.275309
28/08/2016,Capesize,641,6375.929429
28/08/2016,VLOC,97,6032.505064
29/08/2016,Capesize,647,6376.648476
29/08/2016,VLOC,96,6026.566948
30/08/2016,Capesize,642,6428.125942
30/08/2016,VLOC,96,6056.088184
31/08/2016,Capesize,635,6408.896167
31/08/2016,VLOC,96,5979.847054
01/09/2016,Capesize,620,6359.339185
01/09/2016,VLOC,94,5937.286256
02/09/2016,Capesize,622,6366.703817
02/09/2016,VLOC,98,6137.778449
03/09/2016,Capesize,627,6460.60909
03/09/2016,VLOC,100,6252.80007
04/09/2016,Capesize,619,6460.98951
04/09/2016,VLOC,99,6341.193133
05/09/2016,Capesize,615,6475.540026
05/09/2016,VLOC,106,6466.855135
06/09/2016,Capesize,609,6424.387952
06/09/2016,VLOC,106,6523.419857
07/09/2016,Capesize,605,6475.697871
07/09/2016,VLOC,111,6565.322904
08/09/2016,Capesize,602,6440.235027
08/09/2016,VLOC,108,6568.643517
09/09/2016,Capesize,609,6408.619317
09/09/2016,VLOC,109,6618.284356
10/09/2016,Capesize,602,6363.838988
10/09/2016,VLOC,109,6584.463322
11/09/2016,Capesize,602,6341.532801
11/09/2016,VLOC,107,6658.940085
12/09/2016,Capesize,604,6339.63478
12/09/2016,VLOC,107,6594.818539
13/09/2016,Capesize,602,6342.489357
13/09/2016,VLOC,110,6604.137539
14/09/2016,Capesize,612,6313.809813
14/09/2016,VLOC,110,6607.910903
15/09/2016,Capesize,618,6332.287003
15/09/2016,VLOC,109,6513.187367
16/09/2016,Capesize,607,6339.565955
16/09/2016,VLOC,110,6413.842795
17/09/2016,Capesize,604,6367.191554
17/09/2016,VLOC,108,6256.425964
18/09/2016,Capesize,595,6353.60576
18/09/2016,VLOC,110,6249.292076
19/09/2016,Capesize,593,6350.51303
19/09/2016,VLOC,105,6242.462487
20/09/2016,Capesize,589,6275.740113
20/09/2016,VLOC,103,6235.510809
21/09/2016,Capesize,592,6309.218211
21/09/2016,VLOC,100,6210.718522
22/09/2016,Capesize,583,6386.790025
22/09/2016,VLOC,98,6264.010898
23/09/2016,Capesize,579,6271.258827
23/09/2016,VLOC,95,6225.91661
24/09/2016,Capesize,577,6174.041205
24/09/2016,VLOC,94,6250.373736
25/09/2016,Capesize,587,6149.6113
25/09/2016,VLOC,97,6231.720117
26/09/2016,Capesize,584,6009.784544
26/09/2016,VLOC,95,6209.810439
27/09/2016,Capesize,574,5959.810236
27/09/2016,VLOC,97,6219.489066
28/09/2016,Capesize,590,5911.260392
28/09/2016,VLOC,97,6178.775134
29/09/2016,Capesize,583,5815.052586
29/09/2016,VLOC,92,6146.454888
30/09/2016,Capesize,589,5761.556872
30/09/2016,VLOC,90,6143.124879
01/10/2016,Capesize,592,5686.918655
01/10/2016,VLOC,89,6206.063556
02/10/2016,Capesize,592,5636.935303
02/10/2016,VLOC,90,6290.932698
03/10/2016,Capesize,592,5705.575444
03/10/2016,VLOC,96,6557.949996
04/10/2016,Capesize,597,5648.118393
04/10/2016,VLOC,98,6600.820464
05/10/2016,Capesize,602,5718.278488
05/10/2016,VLOC,100,6536.362503
06/10/2016,Capesize,594,5750.424893
06/10/2016,VLOC,104,6555.810647
07/10/2016,Capesize,603,5781.665346
07/10/2016,VLOC,104,6544.995789
08/10/2016,Capesize,603,5790.59869
08/10/2016,VLOC,107,6642.821549
09/10/2016,Capesize,609,5814.70034
09/10/2016,VLOC,106,6429.506159
10/10/2016,Capesize,608,5779.60699
10/10/2016,VLOC,104,6440.66226
11/10/2016,Capesize,611,5834.602208
11/10/2016,VLOC,104,6295.282447
12/10/2016,Capesize,607,5833.146812
12/10/2016,VLOC,106,6366.525903
13/10/2016,Capesize,618,5851.550409
13/10/2016,VLOC,104,6430.291256
14/10/2016,Capesize,635,5852.884246
14/10/2016,VLOC,103,6288.416676
15/10/2016,Capesize,642,5790.554594
15/10/2016,VLOC,102,6283.793023
16/10/2016,Capesize,643,5763.149369
16/10/2016,VLOC,99,6340.34056
17/10/2016,Capesize,639,5789.527196
17/10/2016,VLOC,96,6221.948092
18/10/2016,Capesize,641,5868.912653
18/10/2016,VLOC,95,6310.411349
19/10/2016,Capesize,648,5839.703738
19/10/2016,VLOC,98,6463.947635
20/10/2016,Capesize,650,5886.512404
20/10/2016,VLOC,99,6497.857147
21/10/2016,Capesize,660,5947.967787
21/10/2016,VLOC,99,6599.28963
22/10/2016,Capesize,653,6014.602504
22/10/2016,VLOC,98,6556.562811
23/10/2016,Capesize,658,6107.098025
23/10/2016,VLOC,96,6424.352732
24/10/2016,Capesize,661,6087.53707
24/10/2016,VLOC,95,6403.162967
25/10/2016,Capesize,657,6097.088721
25/10/2016,VLOC,96,6537.089472
26/10/2016,Capesize,661,6131.512273
26/10/2016,VLOC,96,6364.241545
27/10/2016,Capesize,661,6148.175552
27/10/2016,VLOC,96,6373.88025
28/10/2016,Capesize,657,6167.60279
28/10/2016,VLOC,94,6111.814221
29/10/2016,Capesize,664,6155.082936
29/10/2016,VLOC,95,6119.014537
30/10/2016,Capesize,658,6198.683661
30/10/2016,VLOC,96,6083.846367
31/10/2016,Capesize,654,6254.376105
31/10/2016,VLOC,93,6079.382823
01/11/2016,Capesize,649,6227.981062
01/11/2016,VLOC,91,5941.531045
02/11/2016,Capesize,656,6192.428066
02/11/2016,VLOC,88,6039.978856
03/11/2016,Capesize,653,6230.465523
03/11/2016,VLOC,89,6044.666614
04/11/2016,Capesize,652,6246.824229
04/11/2016,VLOC,90,5946.98026
05/11/2016,Capesize,653,6194.845998
05/11/2016,VLOC,91,6086.929068
06/11/2016,Capesize,644,6254.902436
06/11/2016,VLOC,93,6025.11338
07/11/2016,Capesize,645,6263.309772
07/11/2016,VLOC,92,6309.977316
08/11/2016,Capesize,641,6286.451853
08/11/2016,VLOC,92,6269.561553
09/11/2016,Capesize,645,6212.042255
09/11/2016,VLOC,92,6270.825821
10/11/2016,Capesize,642,6230.554524
10/11/2016,VLOC,92,6441.364721
11/11/2016,Capesize,656,6229.322124
11/11/2016,VLOC,90,6449.513402
12/11/2016,Capesize,653,6256.628041
12/11/2016,VLOC,97,6357.850124
13/11/2016,Capesize,647,6262.111609
13/11/2016,VLOC,99,6255.099631
14/11/2016,Capesize,641,6305.948547
14/11/2016,VLOC,99,6161.390109
15/11/2016,Capesize,648,6337.685192
15/11/2016,VLOC,103,6081.480636
16/11/2016,Capesize,649,6362.561801
16/11/2016,VLOC,102,5930.715306
17/11/2016,Capesize,647,6372.418179
17/11/2016,VLOC,104,5965.733014
18/11/2016,Capesize,651,6350.555873
18/11/2016,VLOC,106,6066.024436
19/11/2016,Capesize,651,6300.425751
19/11/2016,VLOC,104,5932.03378
20/11/2016,Capesize,657,6273.174018
20/11/2016,VLOC,100,5877.022045
21/11/2016,Capesize,648,6284.660606
21/11/2016,VLOC,103,5860.091197
22/11/2016,Capesize,645,6256.684321
22/11/2016,VLOC,106,5912.800035
23/11/2016,Capesize,652,6212.478174
23/11/2016,VLOC,106,5931.002886
24/11/2016,Capesize,639,6152.264042
24/11/2016,VLOC,103,5765.357248
25/11/2016,Capesize,634,6089.112313
25/11/2016,VLOC,105,5823.229652
26/11/2016,Capesize,639,6075.81672
26/11/2016,VLOC,103,5890.915193
